route_id,agency_id,route_short_name,route_long_name,route_desc,route_type
98B       ,1         ,98B                                               ,STA. TEREZINHA / INST. LAURO DE S. LIMA/UNIMED (PF1) - CENTRO (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,via Vale Igapó/Mancester                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,3
98D       ,1         ,98D                                               ,STA. TEREZINHA/INST. LAURO DE SOUZA LIMA/VIA DISTRITO  II (PF1) - CENTRO (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                      ,ATÉ DISTRITO INDUSTRIAL I                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,3
1522      ,1         ,1522                                              ,JD. AMÉRICA (PF1) - VILA QUAGGIO / JD. PROGRESSO (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,3
20        ,1         ,20                                                ,VL. SÃO PAULO/NOVA BAURU (PF1) - CENTRO (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,3
3179      ,1         ,3179                                              ,RODOVIÁRIA (PF1) - AEROPORTO MOUSSA TOBIAS (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,3
3911      ,1         ,3911                                              ,PQ. JARAGUÁ (PF1) - VL. SAMARITANA (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,3
4015      ,1         ,4015                                              ,JD. OURO VERDE/GRANJA CECÍLIA (PF1) - JD. AMÉRICA (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,3
499A      ,1         ,499A                                              ,PQ. DAS NAÇÕES (PF1) - PÇA DO LÍBANO (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,prol. Lago Sul                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,3
5232      ,1         ,5232                                              ,POUSADA DA ESPERANÇA    (PF1) -  CAMPUS/VIA GEISEL    (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,Campus - via Geisel                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,3
5232A     ,1         ,5232A                                             ,POUSADA DA ESPERANÇA    (PF1) -  CAMPUS/VIA GEISEL    (PF2) ATÉ DISTRITO INDUSTRIAL I                                                                                                                                                                                                                                                                                                                                                                                                                               ,prol. até Dist. Industrial                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,3
5232B     ,1         ,5232B                                             ,POUSADA DA ESPERANÇA    (PF1) -  CAMPUS/VIA GEISEL    (PF2) ATÉ DISTRITO INDUSTRIAL I                                                                                                                                                                                                                                                                                                                                                                                                                               ,prol. até Dist. Industrial                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,3
543A      ,1         ,543A                                              ,N. JOSÉ REGINO (PF1) - CEREJEIRAS (PF2)  -  VIA AV. RODRIGUES ALVES                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,via Rodrigues Alves                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,3
6011      ,1         ,6011                                              ,PQ. DOS SABIÁS (PF1) - VL. SAMARITANA/JD. ESTORIL (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,3
6072      ,1         ,6072                                              ,PQ. DOS SABIÁS/JOAQUIM GUILHERME (PF1) - HIGIENÓPOLIS (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,3
6869A     ,1         ,6869A                                             ,JARDIM FERRAZ  (PF1) -  PQ. JULIO NOBREGA   (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,prol. Cond. Shangrilá                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,3
7031      ,1         ,7031                                              ,N. JOAQUIM GUILHERME (PF1)  -  RODOVIÁRIA (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,3
84        ,1         ,84                                                ,DISTRITO INDUSTRIAL II (PF1) - CENTRO (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,3
98A       ,1         ,98A                                               ,STA. TEREZINHA / INST. LAURO DE S. LIMA/UNIMED (PF1) - CENTRO (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,via Pq. Manchester                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,3
98C       ,1         ,98C                                               ,STA. TEREZINHA / INST. LAURO DE S. LIMA/UNIMED (PF1) - CENTRO (PF2)                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,via Vale Igapó                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,3
